Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords,Index Keywords,Publisher
Sanchez-Amboage E.; Mora-Jacome V.-L.; Ramirez-Coronel R.-L.; Martinez-Fernandez V.-A.,"Sanchez-Amboage, Eva (57188562311); Mora-Jacome, Veronica-Lucia (57192101225); Ramirez-Coronel, Ramiro-Leonardo (57195314250); Martinez-Fernandez, Valentin-Alejandro (6507394799)",57188562311; 57192101225; 57195314250; 6507394799,"Ecuador's 'four worlds' restaurants: Coast Region, Highlands, Amazon Region and Galápagos Islands on TripAdvisor.com; [Restaurantes de los ""cuatro mundos"" de Ecuador: Costa, Sierra, Oriente y Galápagos en TripAdvisor.com]",2017,"Iberian Conference on Information Systems and Technologies, CISTI",,,7976018,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027239253&doi=10.23919%2fCISTI.2017.7976018&partnerID=40&md5=52ff5c6843545ef85b3cfe01516dc6e1,"The online scenario that appeared at the beginning of the 21st century, with the creation of web 2.0 and social networks, has caused that traditional tourism promotion, needs to be planned along with marketing 2.0, with the purpose of satisfying the new touristic demands and maximizing the results of the enterprises involved in this area. Among, several social networks which are specialized in the field of tourism, TripAdvisor is defined as the biggest online journey - community in the world, which has been able to change the way of how people show their interested in a touristic product or service, on how to plan the trip or how to get information about the touristic experience of other people. TripAdvisor, displays millions of travelers' opinions in 47 countries around the world, as well as, a wide variety of options on how to plan a trip. This social network, also has more than 290 million opinions and comments over 5.3 million accommodations, restaurants and touristic destinations. Ecuador is in the ranking of countries that are part of this virtual community, considered as one of the places with the most recent touristic potential, due to, among other reasons, its environment, cuisine, cultural and social wealth, which makes it an emerging worldwide touristic destination Based on what was mentioned above, it was decided to focus this communication in the Andean country and within it, in the restaurants located in the most representative cities of Ecuador, such as, the Coast Region, Highlands, Amazon Region and Galapagos Islands, with the main purpose of knowing the traveleŕs profile, who makes comments of the Ecuadorian Restaurants on TripAdvisor.com, as well as the rating achieved by establishment. This study is carried out through a quantitative methodology, by the application of content analysis using a spyder to retrieve data from TripAdvisor.com. © 2017 AISTI.",Ecuador; Four worlds; Restaurants; TripAdvisor.com,Data mining; Information systems; Virtual reality; Ecuador; Four worlds; Galapagos Islands; Quantitative methodology; Restaurants; Tourism promotion; TripAdvisor.com; Virtual community; Social networking (online),IEEE Computer Society
Hsin C.; Anastasia P.; Ta-Kang C.; Hsiu-Wen L.,"Hsin, Chen (16318802000); Anastasia, Papazafeiropoulou (6506379075); Ta-Kang, Chen (56319618700); Hsiu-Wen, Liu (36125071800)",16318802000; 6506379075; 56319618700; 36125071800,Commercial exploitation of Facebook: How companies adopt Facebook as a marketing tool,2012,ECIS 2012 - Proceedings of the 20th European Conference on Information Systems,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905728387&partnerID=40&md5=f1b5aa223de481973b7c48667f7edabf,"As the population of Facebook users is growing fast, companies are paying more attention to the influence of social networks to promote brands and are using this rising platform to carry out many marketing activities, such as operating a Facebook Page, and hosting on-line events via such pages. However, few studies have discussed the benefit, which brands could attain by operating on Facebook Pages. This study took place in Taiwan where Facebook has been very popular and aims to understand the motivation and results regarding brand experience of consumers when using social networks and the reasons affecting consumers' willingness to use companies' Facebook Pages. In doing so, we propose a model to discuss the influence from intrinsic and extrinsic motivations: brand experience and E-Word of Mouth (E-WOM). Our results show that perceived ease of use and perceived usefulness positively influence brand experience; brand love and customer effort both directly influence brand experience. Yet, brand experience influences E-WOM directly and through Facebook pages such as loyalty. We believe that our results could be useful for companies looking to exploit Facebook as a marketing tool.",Brand experience; Brand love; Customer effort; Customer loyalty; E-word of mouth; Facebook; Perceived ease of use; Perceived usefulness; Virtual community,Commerce; Information systems; Motivation; Sales; Virtual reality; Brand experience; Brand love; Customer effort; Customer loyalty; E-word of mouth; Facebook; Perceived ease of use; Perceived usefulness; Virtual community; Social networking (online),Association for Information Systems
Zeng W.; Richardson A.,"Zeng, Wanxian (57204069706); Richardson, Alex (7402533740)",57204069706; 7402533740,Beyond 2D Product Presentation in E-commerce: A literature review,2017,"Proceedings of the 28th Australasian Conference on Information Systems, ACIS 2017",,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058644321&partnerID=40&md5=4e3fe0970edd1078b85d5df8a83014aa,"Product presentation in e-commerce has gained substantial attention from disciplines including information systems, marketing, psychology and management. Many studies compare newly emerging technologies and innovative presentation formats to traditional use of two-dimensional text and pictures. However, the emergent nature of these new technologies, like consumer focused virtual reality, results in instability of form and function in three-dimensional environments. This literature review synthesises the findings of extant literature, discusses important theoretical foundations and identifies the most popular research theories and research methods utilised. Additionally, it classifies constructs used to capture characteristics of presentation formats, consumers' reactions and performance, as well as marketing effects (e.g. attitudes to product and purchase intention). The literature review concludes with a discussion of implications and suggestions for future research of product presentation in e-commerce contexts. © ACIS 2017.",Electronic Commerce; Literature Review; Online Product Presentation; Presentation Format; Virtual Reality,Electronic commerce; Information systems; Information use; Marketing; Virtual reality; E-commerce context; Emerging technologies; Presentation formats; Product presentations; Purchase intention; Theoretical foundations; Three-dimensional environment; Two-dimensional texts; Information management,Formal Power Series and Algebraic Combinatorics
Snijders R.; Helms R.,"Snijders, Remco (56369565900); Helms, Remko (15061453100)",56369565900; 15061453100,"Analyzing social influence through social media, a structured literature review",2014,"Proceedings of the 7th IADIS International Conference Information Systems 2014, IS 2014",,,,3,10,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944077895&partnerID=40&md5=d8f462b810380c13ab0850b24f96652f,"The emergence of social media enables billions of people to share their content and in doing so they influence others and are being influenced themselves. This virtual environment provides a new perspective for the current social influence theories. In this study, the state-of-the-art literature on social influence through social media is reviewed. We find that social influence metrics, influence maximization, mobilization, Word-Of-Mouth and Online Reputation Management are important trends in this field of research. Social influence is shown to have a big impact in social media, but the best way to measure, maximize and coordinate this influence is still to be found. Building on the analyzed literature, we present the Online Social Influence Model, which shows the steps that are necessary to manage social influence through social media. The current study can be valuable to both researchers and practitioners, by providing a starting point for further research and identifying opportunities to improve marketing practices. © 2014 IADIS.",Influence maximization; Social influence; Social media; Word-of-mouth,Information systems; Marketing; Social networking (online); Virtual reality; Influence maximizations; Literature reviews; Online reputation managements; Social influence; Social influence model; Social influence theory; Social media; Word of mouth; Economic and social effects,IADIS
Anattasakul R.; Slama T.J.; Demirel H.O.,"Anattasakul, Roatchanatam (58142824800); Slama, Timothy James (58143099700); Demirel, H. Onan (57196858579)",58142824800; 58143099700; 57196858579,Digital co-creation: an early-stage product individualization framework to bridge the customer-designer void,2022,Digital Human Modeling and Medicine: The Digital Twin,,,,659,677,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150083695&doi=10.1016%2fB978-0-12-823913-1.00022-1&partnerID=40&md5=d0cf947826b6ea8fd49a14e9fdb9d983,"Mass customization brings some flexibility and personalization based on highly variant products. However, it often fails to establish a substantial level of partnership—customer-designer collaboration. There is a need for design methodologies that tailor products around customers' specific needs and preferences while keeping the customer's voice and input in the loop throughout the preliminary design phase. This approach is vital for designing medical and healthcare products since customers' physiological and cognitive needs demand high levels of product individualization. This chapter introduces the Digital Co-Creation framework as an alternative method to alleviate challenges associated with mass customization. The framework is demonstrated via a lower-limb prosthetic casing design case study, which presents how customer-designer collaboration allows the individualization of a lower-limb prosthetic casing for two hypothetical customers with contrasting needs and preferences. The overall strategy calls for collaborative design with digital technologies and tools such as digital human modeling, enabling products tailored to customer needs and preferences, aligning with the goals and objectives discussed within the Digital Patient concept. © 2023 Elsevier Inc. All rights reserved.",Augmented reality; Co-creation; Computer graphics; Computer-aided engineering; Digital human modeling; Human-centered computing; Human-centered design; Human-computer interaction; Information management; Information systems; Management; Manufacturing engineering; Marketing; Mass customization; Mass individualization; Preliminary design; Technology management,,Elsevier
Banyte J.; Gatautis R.; Virvilaite R.,"Banyte, J. (35069019600); Gatautis, R. (25925804900); Virvilaite, R. (35070853800)",35069019600; 25925804900; 35070853800,A study of factors influencing consumer activity in the virtual environment,2005,"MIPRO 2005 - 28th International Convention Proceedings: Business Intelligence Systems, Digital Economy - 2nd e-business ALADIN, Information Systems Security",5,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896833775&partnerID=40&md5=832ed9a627b578b0722537704efb5e24,"The extended Internet network has created a new environment for business solutions. This fact has conditioned marked changes in the marketing area associated with transformation of traditional marketing functions and strategies. In this sense, a matter of relevance is the fact that the virtual environment changes the state of customers and gives them an opportunity to become active participators in the marketing process. On the other hand, it must be noted that the effect of factors influencing consumer activity in the virtual environment can be both stimulating or restrictive. The need of marketing solutions adequate for the new environment enables us to state that recognition of factors influencing consumer behavior in the new environment is a relevant and timely question of scientific research. Factors (personal, economical, social) stimulating and restricting user activity in the virtual environment are analyzed in the article; on this basis, the methodology of empiric investigation is prepared and the investigation of factors influencing activity of students of Kaunas University of Technology in the Internet is conducted. Results of the survey enables us to identify factors that have a stimulating and restrictive effect on students' behavior in the virtual environment and to anticipate solutions necessary for their activation.",,Decision support systems; Electronic commerce; Information systems; Internet; Marketing; Business solutions; Effect of factors; Marketing functions; Marketing process; Scientific researches; Students' behaviors; User activity; Virtual reality,
Ping J.W.; Goh K.Y.; Teo H.H.,"Ping, Jerry Wenjie (54895073400); Goh, Khim Yong (23396611500); Teo, Hock Hai (7005941725)",54895073400; 23396611500; 7005941725,"Engaging consumers with advergames: An experimental evaluation of interactivity, relevancy and expectancy",2010,ICIS 2010 Proceedings - Thirty First International Conference on Information Systems,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870964584&partnerID=40&md5=b1dec7c170dfba4893cac8f58278dccf,"Advergames are increasingly used by companies for online advertising campaigns. However, the effectiveness of this unique advertising strategy has not been investigated in the IS research literature. This study sheds light on the effectiveness of advergames by introducing three design elements of an advergame: interactivity (the extent to which a player has control over the choice of viewing the advertising message), relevancy (the extent to which the game context identifies with the advertising information), and expectancy (the extent to which the advergame form is within the expectation of the player). Two dependent variables, attitude toward advergame and attitude toward brand, are used to evaluate the effectiveness of the advergame. Based on the transportation theory, we hypothesized two-way interaction effects between each pair of the three independent variables on the attitude toward the advergame, and also main effects of the dependent variables on the attitude toward a brand. A 2*2*2 factorial design experiment in a virtual world environment was used to test our hypotheses. The results indicate that in the condition of high relevancy, a more favorable attitude toward advergame was found for both high interactivity and low expectancy. Contrary to our hypothesis, in the low interactivity condition, high expectancy generates a more positive attitude toward advergame. Interestingly, interactivity was the only independent variable found to have a significant effect on the attitude toward brand.",Advergame; Attitude toward advergame; Attitude toward brand; Expectancy; Interactivity; Relevancy; Transportation theory,Information systems; Virtual reality; Advergame; Attitude toward advergame; Attitude toward brand; Expectancy; Interactivity; Relevancy; Marketing,
Kim J.-H.; Choi H.-J.; Shin K.,"Kim, Ju-Hyung (35731699400); Choi, Hyeon-Jeong (56484912000); Shin, Kyoochul (56006511400)",35731699400; 56484912000; 56006511400,Clients of architectural services and online communities: Exploration and facilitation of information streams in the korean context,2015,Journal of Asian Architecture and Building Engineering,14,1,,41,48,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921269419&doi=10.3130%2fjaabe.14.41&partnerID=40&md5=f507911035658f2c228c4937e668c2db,"The status of online communities for clients of professional architectural services has been explored only rarely, although various communities have been established autonomously. These communities have faced challenges regarding the reliability of information and incentives for sustainable involvement of members. These concerns can be tackled by facilitating a community embracing socially embedded human actions and virtual markets in which recommendations are powerful for promoting sustainable information streams. This study aims to provide a theoretical framework to implement a structured online community in which trustworthy information are shared in sustainable manner by cultivating social actions in relationship. A preliminary investigation into the opinions of a specific group of professional architectural service clients in existing online communities is conducted. Based on relevant findings, a prototype of a structured online community, which systematizes information flows, involvement of service providers, and evaluation of service quality is developed. A main survey provides insight of clients on the motivation to upload information, usefulness of information, and expected customer power in the structured online community. © 2015, Architectural Institute of Japan. All right reserved.",Architectural service clients; Customer power; Information systems; Knowledge spiral; Marketing; Online community,Commerce; Information systems; Marketing; Social networking (online); Virtual reality; Architectural services; Customer power; Information flows; Information streams; Knowledge spiral; On-line communities; Reliability of information; Theoretical framework; Online systems,Architectural Institute of Japan
Blum R.; Clarke M.,"Blum, Rainer (23395868200); Clarke, Malcolm (7403284073)",23395868200; 7403284073,Evaluating effects of visual appearance of virtual humans in e-commerce,2011,"Proceedings of the IADIS International Conference Interfaces and Human Computer Interaction 2011, Part of the IADIS Multi Conference on Computer Science and Information Systems 2011, MCCSIS 2011",,,,365,368,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865089716&partnerID=40&md5=e0a6e6442204adb8dc703297f7842434,"Customized avatars as imitations of individual, real customers constitute a promising concept for personalized product marketing in Internet retail. But, consolidated knowledge about effective visual design strategies of these surrogates to positively influence consumer behavior is still lacking. This work-in-progress paper presents and discusses an experimental study targeted at this gap. It focuses especially on the composition of suitable outcome measures, covering central consumer behavior-related reactions and attitudes and takes the experiential versus utilitarian characteristics of this marketing concept into account. © 2011 IADIS.",Avatar design; Consumer behavior; e-commerce; Experiment design; User requirements,Computer science; Consumer behavior; Design; Electronic commerce; Information systems; Experiment design; Experimental studies; Marketing concept; Personalized products; User requirements; Virtual humans; Visual appearance; Visual design; Work-in-progress; Virtual reality,
Beer D.,"Beer, Daniela (36679690800)",36679690800,Business flight simulators in the framework of information strategy,2010,"Proceedings - 2010 2nd IEEE International Conference on Information and Financial Engineering, ICIFE 2010",,,5609506,922,925,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650295662&doi=10.1109%2fICIFE.2010.5609506&partnerID=40&md5=4ba70c42207236a208d2b4cf99d3738f,"The present trend of information technology makes it possible to simulate economic process courses and results very well. The simulation by itself does not replace reality but substantially improves quality. Company information systems often abound in data and information overloading. Sometimes nobody uses them and the information system does not work as a whole. For better understanding and company integration we look for more powerful tools for decision making in real time. Business flight simulators can provide company information strategy with suitable tools for decision making. Business flight simulators are able to create different ""whatif"" scenarios and analysis. Results from company information systems, data warehouses and other unstructured sources (texts, spreadsheet programs, market behavior, economic index of other companies, etc.) could be used as data. All summary indexes, on the basis of the data history, are able to create predictions and help future progress. The level of strategic planning and production control is very closely linked with other strategic areas such as marketing, trade or economy. The access to real data is one of the advantages which can be supported by simulators and can help managers make a decision and see the future impact these decisions may have. The simulator can not be isolated but it has to be integrated into the company's information system. Business flight simulators provide a kind of virtual reality. © 2010 IEEE.",Business flight simulators; Business information strategy; Decision making; Information architecture; Information system integration; Management,Data warehouses; Flight simulators; Industry; Information retrieval; Information science; Information systems; Knowledge management; Production control; Simulators; Virtual reality; Business flight simulators; Business information; Data and information; Economic indexes; Information architectures; Information strategy; Information system integration; Market behavior; Process course; Real time; Spreadsheet program; What-if; Decision making,
