Soruce,Abstract
s,"The online scenario that appeared at the beginning of the 21st century, with the creation of web 2.0 and social networks, has caused that traditional tourism promotion, needs to be planned along with marketing 2.0, with the purpose of satisfying the new touristic demands and maximizing the results of the enterprises involved in this area. Among, several social networks which are specialized in the field of tourism, TripAdvisor is defined as the biggest online journey - community in the world, which has been able to change the way of how people show their interested in a touristic product or service, on how to plan the trip or how to get information about the touristic experience of other people. TripAdvisor, displays millions of travelers' opinions in 47 countries around the world, as well as, a wide variety of options on how to plan a trip. This social network, also has more than 290 million opinions and comments over 5.3 million accommodations, restaurants and touristic destinations. Ecuador is in the ranking of countries that are part of this virtual community, considered as one of the places with the most recent touristic potential, due to, among other reasons, its environment, cuisine, cultural and social wealth, which makes it an emerging worldwide touristic destination Based on what was mentioned above, it was decided to focus this communication in the Andean country and within it, in the restaurants located in the most representative cities of Ecuador, such as, the Coast Region, Highlands, Amazon Region and Galapagos Islands, with the main purpose of knowing the travele?s profile, who makes comments of the Ecuadorian Restaurants on TripAdvisor.com, as well as the rating achieved by establishment. This study is carried out through a quantitative methodology, by the application of content analysis using a spyder to retrieve data from TripAdvisor.com. © 2017 AISTI."
s,"As the population of Facebook users is growing fast, companies are paying more attention to the influence of social networks to promote brands and are using this rising platform to carry out many marketing activities, such as operating a Facebook Page, and hosting on-line events via such pages. However, few studies have discussed the benefit, which brands could attain by operating on Facebook Pages. This study took place in Taiwan where Facebook has been very popular and aims to understand the motivation and results regarding brand experience of consumers when using social networks and the reasons affecting consumers' willingness to use companies' Facebook Pages. In doing so, we propose a model to discuss the influence from intrinsic and extrinsic motivations: brand experience and E-Word of Mouth (E-WOM). Our results show that perceived ease of use and perceived usefulness positively influence brand experience; brand love and customer effort both directly influence brand experience. Yet, brand experience influences E-WOM directly and through Facebook pages such as loyalty. We believe that our results could be useful for companies looking to exploit Facebook as a marketing tool."
s,"Product presentation in e-commerce has gained substantial attention from disciplines including information systems, marketing, psychology and management. Many studies compare newly emerging technologies and innovative presentation formats to traditional use of two-dimensional text and pictures. However, the emergent nature of these new technologies, like consumer focused virtual reality, results in instability of form and function in three-dimensional environments. This literature review synthesises the findings of extant literature, discusses important theoretical foundations and identifies the most popular research theories and research methods utilised. Additionally, it classifies constructs used to capture characteristics of presentation formats, consumers' reactions and performance, as well as marketing effects (e.g. attitudes to product and purchase intention). The literature review concludes with a discussion of implications and suggestions for future research of product presentation in e-commerce contexts. © ACIS 2017."
s,"The emergence of social media enables billions of people to share their content and in doing so they influence others and are being influenced themselves. This virtual environment provides a new perspective for the current social influence theories. In this study, the state-of-the-art literature on social influence through social media is reviewed. We find that social influence metrics, influence maximization, mobilization, Word-Of-Mouth and Online Reputation Management are important trends in this field of research. Social influence is shown to have a big impact in social media, but the best way to measure, maximize and coordinate this influence is still to be found. Building on the analyzed literature, we present the Online Social Influence Model, which shows the steps that are necessary to manage social influence through social media. The current study can be valuable to both researchers and practitioners, by providing a starting point for further research and identifying opportunities to improve marketing practices. © 2014 IADIS."
s,"Mass customization brings some flexibility and personalization based on highly variant products. However, it often fails to establish a substantial level of partnership—customer-designer collaboration. There is a need for design methodologies that tailor products around customers' specific needs and preferences while keeping the customer's voice and input in the loop throughout the preliminary design phase. This approach is vital for designing medical and healthcare products since customers' physiological and cognitive needs demand high levels of product individualization. This chapter introduces the Digital Co-Creation framework as an alternative method to alleviate challenges associated with mass customization. The framework is demonstrated via a lower-limb prosthetic casing design case study, which presents how customer-designer collaboration allows the individualization of a lower-limb prosthetic casing for two hypothetical customers with contrasting needs and preferences. The overall strategy calls for collaborative design with digital technologies and tools such as digital human modeling, enabling products tailored to customer needs and preferences, aligning with the goals and objectives discussed within the Digital Patient concept. © 2023 Elsevier Inc. All rights reserved."
s,"The extended Internet network has created a new environment for business solutions. This fact has conditioned marked changes in the marketing area associated with transformation of traditional marketing functions and strategies. In this sense, a matter of relevance is the fact that the virtual environment changes the state of customers and gives them an opportunity to become active participators in the marketing process. On the other hand, it must be noted that the effect of factors influencing consumer activity in the virtual environment can be both stimulating or restrictive. The need of marketing solutions adequate for the new environment enables us to state that recognition of factors influencing consumer behavior in the new environment is a relevant and timely question of scientific research. Factors (personal, economical, social) stimulating and restricting user activity in the virtual environment are analyzed in the article; on this basis, the methodology of empiric investigation is prepared and the investigation of factors influencing activity of students of Kaunas University of Technology in the Internet is conducted. Results of the survey enables us to identify factors that have a stimulating and restrictive effect on students' behavior in the virtual environment and to anticipate solutions necessary for their activation."
s,"Advergames are increasingly used by companies for online advertising campaigns. However, the effectiveness of this unique advertising strategy has not been investigated in the IS research literature. This study sheds light on the effectiveness of advergames by introducing three design elements of an advergame: interactivity (the extent to which a player has control over the choice of viewing the advertising message), relevancy (the extent to which the game context identifies with the advertising information), and expectancy (the extent to which the advergame form is within the expectation of the player). Two dependent variables, attitude toward advergame and attitude toward brand, are used to evaluate the effectiveness of the advergame. Based on the transportation theory, we hypothesized two-way interaction effects between each pair of the three independent variables on the attitude toward the advergame, and also main effects of the dependent variables on the attitude toward a brand. A 2*2*2 factorial design experiment in a virtual world environment was used to test our hypotheses. The results indicate that in the condition of high relevancy, a more favorable attitude toward advergame was found for both high interactivity and low expectancy. Contrary to our hypothesis, in the low interactivity condition, high expectancy generates a more positive attitude toward advergame. Interestingly, interactivity was the only independent variable found to have a significant effect on the attitude toward brand."
s,"The status of online communities for clients of professional architectural services has been explored only rarely, although various communities have been established autonomously. These communities have faced challenges regarding the reliability of information and incentives for sustainable involvement of members. These concerns can be tackled by facilitating a community embracing socially embedded human actions and virtual markets in which recommendations are powerful for promoting sustainable information streams. This study aims to provide a theoretical framework to implement a structured online community in which trustworthy information are shared in sustainable manner by cultivating social actions in relationship. A preliminary investigation into the opinions of a specific group of professional architectural service clients in existing online communities is conducted. Based on relevant findings, a prototype of a structured online community, which systematizes information flows, involvement of service providers, and evaluation of service quality is developed. A main survey provides insight of clients on the motivation to upload information, usefulness of information, and expected customer power in the structured online community. © 2015, Architectural Institute of Japan. All right reserved."
s,"Customized avatars as imitations of individual, real customers constitute a promising concept for personalized product marketing in Internet retail. But, consolidated knowledge about effective visual design strategies of these surrogates to positively influence consumer behavior is still lacking. This work-in-progress paper presents and discusses an experimental study targeted at this gap. It focuses especially on the composition of suitable outcome measures, covering central consumer behavior-related reactions and attitudes and takes the experiential versus utilitarian characteristics of this marketing concept into account. © 2011 IADIS."
s,"The present trend of information technology makes it possible to simulate economic process courses and results very well. The simulation by itself does not replace reality but substantially improves quality. Company information systems often abound in data and information overloading. Sometimes nobody uses them and the information system does not work as a whole. For better understanding and company integration we look for more powerful tools for decision making in real time. Business flight simulators can provide company information strategy with suitable tools for decision making. Business flight simulators are able to create different ""whatif"" scenarios and analysis. Results from company information systems, data warehouses and other unstructured sources (texts, spreadsheet programs, market behavior, economic index of other companies, etc.) could be used as data. All summary indexes, on the basis of the data history, are able to create predictions and help future progress. The level of strategic planning and production control is very closely linked with other strategic areas such as marketing, trade or economy. The access to real data is one of the advantages which can be supported by simulators and can help managers make a decision and see the future impact these decisions may have. The simulator can not be isolated but it has to be integrated into the company's information system. Business flight simulators provide a kind of virtual reality. © 2010 IEEE."
s,"Virtual worlds (VWs) have emerged as a new context for gaming, collaboration, social networking but also commercial activity. This paper focuses on the latter, and investigates how consumers behave in this virtual context when selecting stores they visit or buy from. The paper explores store selection criteria in virtual world stores and extends earlier research in both offline and online commercial environments, taking into account the novel IT capabilities that VWs exploit. Theoretical insights drawn from the marketing and information systems literature have been used to guide the design of a survey conducted in the virtual world Second Life. In addition to identifying the factors influencing store selection, the paper investigates how these differ between shoppers and non-shoppers, and identifies the factors that affect the amount of money spent in virtual world shopping environments. The findings suggest that ""Core Store Features"" and ""Security and Privacy"" constitute the most important store selection factors in virtual environments and that sales in VWs are predicted by the frequency of visiting and the time spent within VWs' stores. Building on these findings, the paper discusses theoretical and practical implications and further research perspectives in the context of (3D) online commerce. © 2014 Elsevier B.V."
s,"Emerging service oriented architecture is increasing the evolution and variation of software resources. Applications that cannot adapt to dynamic environments will decrease their usefulness, particularly to business process management systems that face requirements changed frequently. In response to the realistic requirements, this paper, based on Web services and business process management techniques, propose a model of service cooperation middleware (SCM) for enterprise computing. First, it discusses the conceptual architecture and operation mechanisms of SCM, then formalizes the meta-model of cooperative processes deployed on SCM. By introducing a model transformation function into the formalization, a static process model can be extended to a dynamic one. In virtue of the reflection capability, structural reconstruction and behavioral adaptation of the dynamic processes can be achieved in SCM by introspection and effectuation. In terms of the conceptual model of SCM, a process virtual machine (PVM) is designed as a running container for cooperative processes. Borrowed from the power of MDA mechanism, the model of a business process can be transformed successively from design to run time. The business processes established on SCM can be more flexibly and extensively applied to various open environments, and leverage modern enterprise computing."
s,"This survey of literature in software economics tries to find explanations for the vulnerabilities left in commercial software products and the lack of security considerations in software and information systems (IS) that are developed from components. An examination of the information economic environment where market-driven software development occurs, which is characterized by network effects and lock-in, suggests that the schedule and the budget constraints on secure software and IS development are outcomes of rational economic behaviour. The consequences for security of first-to-market competition (e.g. shortening development-cycle, release-oriented development, beta testing) and customer lock-in (e.g. into an insecure product) are considered from an economic point of view."
