,Contributions,,Coordinates,,Cos2,,Inertia,,
,Dim 1,Dim 2,Dim 1,Dim 2,Dim 1,Dim 2,,,
marketing,1.792,0.519,-0.385,0.197,0.071,0.019,0.088,,0.088
innovation,0.077,0.012,0.288,-0.108,0.005,0.001,0.055,,0
augmented,0.07,1.109,-0.109,0.415,0.003,0.042,0.082,,0.082
reality,1.774,0.997,-0.364,0.259,0.096,0.048,0.065,,0
virtual,5.57,0.779,-0.536,0.19,0.146,0.018,0.133,,0.133
advertising,6.11,26.939,1.986,3.956,0.1,0.395,0.214,,0.214
algorithms,1.152,0.685,0.996,-0.728,0.208,0.111,0.019,,0
applications,0.289,0.263,0.231,0.209,0.011,0.009,0.089,,0.089
artificial,0.137,0.221,0.297,-0.359,0.011,0.015,0.046,,0
intelligence,0.012,0.031,-0.089,-0.138,0.001,0.002,0.061,,0
business,1.834,0.021,0.595,-0.061,0.089,0.001,0.072,,0
collaborative,0.112,0.003,0.381,-0.062,0.006,0,0.061,,0
community,1.346,0.089,-0.889,0.217,0.028,0.002,0.168,,0.168
cultural,0.703,0.018,-0.628,0.095,0.02,0,0.125,,0.125
database,0.324,0.202,0.436,-0.327,0.025,0.014,0.045,,0
databases,0.36,0.334,0.576,-0.527,0.037,0.031,0.034,,0
decision,0.168,0.005,-0.368,0.063,0.007,0,0.083,,0.083
science,0.598,0.808,0.516,-0.569,0.035,0.042,0.06,,0
scientific,0.551,0.363,-0.74,0.57,0.029,0.017,0.067,,0
digital,0.044,0.297,0.08,-0.197,0.001,0.007,0.132,,0.132
distributed,0.863,0.789,0.809,-0.734,0.094,0.078,0.032,,0
computing,0.34,0.549,0.419,-0.505,0.024,0.035,0.05,,0
ecommerce,0.002,0.306,0.028,0.344,0,0.006,0.15,,0.15
economic,0.029,0.003,-0.125,-0.037,0.001,0,0.072,,0
education,2.611,1.786,0.821,-0.644,0.133,0.082,0.069,,0
educational,2.043,1.307,0.938,-0.711,0.084,0.049,0.085,,0.085
electronic,0.167,0.183,0.38,-0.376,0.022,0.022,0.026,,0
engineering,0.551,0.963,0.556,-0.698,0.02,0.032,0.094,,0.094
environment,0.01,0.145,-0.041,-0.146,0.001,0.007,0.068,,0
environment.1,0.01,0.145,-0.041,-0.146,0.001,0.007,0.068,,0
environments,0.384,0.069,-0.4,0.161,0.015,0.002,0.092,,0.092
geographic,0.178,0.14,-0.331,0.279,0.008,0.005,0.082,,0.082
information,1.592,0.081,-0.251,0.054,0.085,0.004,0.065,,0
systems,0.555,1.658,0.207,-0.34,0.032,0.087,0.06,,0
health,0.012,0.74,-0.073,-0.535,0,0.015,0.159,,0.159
infrastructure,0.4,0.328,0.719,-0.617,0.066,0.048,0.021,,0
innovation.1,0.077,0.012,0.288,-0.108,0.005,0.001,0.055,,0
innovative,0.035,0.099,-0.162,0.26,0.003,0.007,0.045,,0
internet,0.085,0.804,0.138,-0.401,0.004,0.033,0.077,,0
machine,0.856,0.812,0.783,-0.724,0.065,0.056,0.046,,0
learning,5.132,4.069,0.922,-0.779,0.267,0.19,0.067,,0
management,1.007,0.507,0.364,-0.245,0.066,0.03,0.054,,0
market,0.42,0.044,-0.298,0.092,0.029,0.003,0.05,,0
media,0.331,0.176,-0.34,0.235,0.013,0.006,0.089,,0.089
medical,0.134,0.565,0.28,-0.547,0.006,0.024,0.073,,0
methodology,0.285,0.087,0.513,0.268,0.022,0.006,0.044,,0
methods,0.007,0.041,0.057,-0.132,0.001,0.003,0.041,,0
mobile,0.02,0.229,-0.062,0.198,0.001,0.007,0.098,,0.098
mobility,26.506,31.344,4.487,4.629,0.349,0.372,0.265,,0.265
model,0.159,0.008,0.135,-0.03,0.006,0,0.086,,0.086
modeling,0.989,0.72,0.675,-0.547,0.116,0.076,0.03,,0
modelling,0.01,0.329,0.079,-0.426,0,0.007,0.156,,0.156
models,0.245,0.087,0.309,0.175,0.011,0.003,0.079,,0
monitoring,0.001,0.114,0.028,-0.347,0,0.008,0.043,,0
motion,0.122,0.222,0.378,-0.484,0.007,0.012,0.058,,0
multimedia,1.374,1.16,0.919,-0.801,0.113,0.086,0.042,,0
navigation,0.087,0.287,-0.184,0.318,0.003,0.007,0.121,,0.121
natural,0.53,0.41,0.654,-0.546,0.077,0.054,0.024,,0
nature,0.358,0.05,-0.62,0.219,0.019,0.002,0.066,,0
neural,0.574,0.302,0.908,-0.625,0.1,0.048,0.02,,0
network,0.942,0.848,0.532,-0.479,0.075,0.061,0.044,,0
networks,3.505,2.393,0.907,-0.711,0.186,0.114,0.066,,0
online,0.139,0.014,-0.135,0.041,0.004,0,0.133,,0.133
operation,0.84,0.554,0.88,-0.678,0.165,0.098,0.018,,0
quality,0.944,0.003,-0.48,0.027,0.032,0,0.104,,0.104
real,0.858,0.094,-0.48,0.151,0.027,0.003,0.112,,0.112
sales,0.151,0.081,-0.403,0.281,0.01,0.005,0.05,,0
consumer,0.442,0.052,-0.498,0.162,0.016,0.002,0.099,,0.099
satisfaction,2.277,0.248,-1.043,0.327,0.064,0.006,0.124,,0.124
spatial,1.252,0.694,0.899,0.635,0.06,0.03,0.074,,0
strategy,0.621,0.802,0.633,0.683,0.034,0.04,0.063,,0
strategies,0.449,0.006,-0.584,0.066,0.022,0,0.07,,0
technological,0.007,0.156,-0.068,-0.309,0,0.005,0.107,,0.107
technologies,0.029,0.123,0.06,-0.118,0.002,0.006,0.062,,0
technology,0.11,0.226,-0.104,-0.141,0.005,0.01,0.072,,0
tourism,10.563,5.613,-1.533,1.06,0.195,0.093,0.189,,0.189
tourist,2.868,1.906,-1.111,0.859,0.086,0.052,0.116,,0.116
tourists,1.891,0.818,-1.32,0.824,0.107,0.042,0.062,,0
,,,,,,,,,
Average,1.282076923,1.282,0.157589744,0.009948718,0.049846154,0.036679487,0.079307692,,
Minimum,0.001,0.003,-1.533,-0.801,0,0,0.018,,
Median,0.392,0.275,0.0795,-0.085,0.022,0.011,0.068,,
Maximum,26.506,31.344,4.487,4.629,0.349,0.395,0.265,,
SD,3.324754438,4.642858255,0.782315568,0.820957722,0.066282566,0.066568097,0.045076359,,
