"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"marketing",-0.385100798491806,0.196649276513871,-0.233712414518802,0.0307700933571222,-0.171197585264557
"innovation",0.287661012328647,-0.108053059071315,0.0588609393524759,0.649239600244439,1.30682268822609
"augmented",-0.109435731399519,0.414542528952603,-0.166696127611376,-0.961805390719338,0.659412693524589
"reality",-0.36386620101215,0.258755822017385,-0.0460267877589688,-0.554780792973305,0.151203300213636
"virtual",-0.536322523327559,0.190272096779361,-0.114472388140716,0.0396182505880336,-0.715032880546361
"advertising",1.98594466385714,3.95638783452126,-0.59532946728754,0.249310858322473,-0.725651096003875
"algorithms",0.995605353248734,-0.728270557288269,0.367635359738091,0.239935411662636,-0.18638731237423
"applications",0.230954199237147,0.208879583469692,-0.216746926346143,-0.418688818993689,0.269906807279339
"artificial",0.297369171747646,-0.358733756742688,0.0991752474973644,-0.269207407758537,0.134256094413082
"intelligence",-0.0885662485727356,-0.137867894805217,-0.194644245947928,-0.492699566520538,0.319319720561428
"business",0.594537221850288,-0.0608368460468446,0.158174078014819,0.285437112810149,-0.012444634494959
"collaborative",0.380505680864513,-0.0623233120220049,0.106866575052804,-0.415471388850742,1.13599616846147
"community",-0.88877268842467,0.216531554846695,-1.60939330317314,2.65543624461359,-0.813667823084542
"cultural",-0.628329372315794,0.0945778615130603,-0.481996584355312,1.0840761524731,1.86079861569251
"database",0.436200747980079,-0.326848753328117,0.730741424658049,-0.138022557331962,-0.0508914770948971
"databases",0.576162371271724,-0.52659039317313,0.440616825396207,-0.0695442899556777,-0.0392442622002627
"decision",-0.367640631981192,0.063188590049067,-0.400621128855661,-0.338092524909702,-0.336607982007603
"science",0.515917223688852,-0.569023743851435,0.305012901805247,-0.0959622904978665,0.112487067569275
"scientific",-0.739995216298941,0.569604144888368,1.94451217405329,0.300478338498536,-0.169039015077272
"digital",0.0797537393173532,-0.196869199985568,-0.000623203088251653,0.312736500142632,1.07917961083464
"distributed",0.809393341625947,-0.734495954778381,0.357090874693005,0.229347975229551,-0.107723127888044
"computing",0.418870054308498,-0.505169757649837,0.187362323704441,-0.113697751497938,0.120010608502674
"ecommerce",0.0281765607199026,0.34402326205068,-0.560506776096004,-0.154975213324677,-0.736567434248642
"economic",-0.125230705789999,-0.0365190058391203,0.409439688101763,0.0443104334653692,-0.517050476111989
"education",0.8211212097889,-0.644279025437439,0.397872494955243,0.431753002741137,-0.0418018984267826
"educational",0.937606446793518,-0.711433576578367,0.671956751359644,0.389602375004335,-0.113437622281497
"electronic",0.379591207440482,-0.376480094547595,0.145880763683509,0.0241908871342229,-0.00463698911355971
"engineering",0.555934130073551,-0.697539404131135,0.232512171124766,-0.240768538234502,-0.028018966237249
"environment",-0.0412899692647036,-0.146243680067659,-0.191993148459742,-0.382419803911413,-0.779933016902142
"environment.1",-0.0412899692647037,-0.146243680067659,-0.191993148459742,-0.382419803911413,-0.779933016902141
"environments",-0.400022175494676,0.160969950519875,-0.704267393447157,-0.351895951877553,-1.02878537408495
"geographic",-0.330814096374285,0.278812668404651,-0.576073464838216,-0.398807353274816,0.17962255168991
"information",-0.250744273905263,0.0535220388064787,-0.125620965738222,-0.0999883529786122,0.0868805986833563
"systems",0.207145734111535,-0.33971734261117,0.0481836566853189,-0.0419376346471899,0.0878152515508416
"health",-0.0730174345925087,-0.53521922034514,-0.172544501305321,-1.20938593341325,1.14570178924567
"infrastructure",0.718713947054793,-0.617467208641458,0.374352717417358,-0.0479317769749441,0.139059493108442
"innovation.1",0.287661012328648,-0.108053059071316,0.0588609393524766,0.649239600244439,1.3068226882261
"innovative",-0.162431912562094,0.260148818197687,-0.24394620726784,-0.0947661545230128,0.61366628821154
"internet",0.137911455196818,-0.401327616973294,-0.000379691173154223,-0.155255118627268,0.0941861669061388
"machine",0.783350589038554,-0.72425788392445,0.290021164198875,0.36169008238096,0.398752628588779
"learning",0.921675681475327,-0.778589963401149,0.379739391843369,0.41596330072992,-0.0695301356459048
"management",0.364204951239169,-0.245293363785848,0.179192961558274,0.0960784732330732,-0.187602431502109
"market",-0.298058952289333,0.0919427115620188,-0.0172286260721533,-0.341081901453416,0.119783793796548
"media",-0.339847803870225,0.235003157665699,0.0181331486568973,0.364518196564616,0.132677344510848
"medical",0.280099427226514,-0.546515186176857,0.307785038671867,-0.679174198679684,0.658029323677104
"methodology",0.512537461414403,0.268292572131004,0.333740675863909,0.0923140110179386,-0.610069922051584
"methods",0.0573349500568417,-0.132387027042877,0.34103669048427,0.00766824201671108,-0.0995616868400705
"mobile",-0.0617222966558035,0.197776799688367,0.0124760416506654,-0.5186489097476,0.61331773314069
"mobility",4.4866714614193,4.62882798539433,0.189511225876991,0.34329818369783,0.450848852957409
"model",0.134715387389658,-0.0295233633912692,-0.179947144824095,0.651584144707015,0.137280360502182
"modeling",0.675232060946702,-0.546629034234884,0.44724661320637,0.342191150313553,-0.13529773851457
"modelling",0.0794177690560169,-0.426439679176331,-0.191855299583895,-0.439068515138119,0.299332629956875
"models",0.309466431864941,0.175469929285689,-0.296273667019556,-0.10634645498109,0.423579657447135
"monitoring",0.0276567961851096,-0.346852187219082,-0.238950139426263,-0.980832074674303,-0.037693384787365
"motion",0.377847699774032,-0.484089720871715,-0.000997841088627669,-0.0685234526658512,-0.538202259055822
"multimedia",0.919041320654306,-0.801259992434491,0.40749870639523,0.385353095605059,-0.490596371937826
"navigation",-0.184112752312672,0.317808097195887,-0.480424335424248,-1.40377595951037,0.328213387629315
"natural",0.65392319136376,-0.545889346816331,0.219793200070183,-0.108471794239884,-0.417775724778853
"nature",-0.620488349267119,0.219102149400554,-0.122788458839642,0.0422076985253172,0.0824434720832082
"neural",0.907609058576999,-0.624853348424979,0.356439046531598,0.179086620569981,-0.142170804419406
"network",0.53177941968784,-0.478632765961864,0.304111270489856,0.234426022176581,-0.402913672732555
"networks",0.907030346951242,-0.711084212256449,0.416854004040013,0.429177783074802,-0.372191263952769
"online",-0.135480641355944,0.0409978873601226,-0.594548999373715,0.618345408251469,-0.614675102585532
"operation",0.880331918707449,-0.677985438542005,0.351475136579398,0.314492790031395,-0.528814966696699
"quality",-0.479590158774851,0.0270125796552314,-1.06334161087596,1.11050522232136,0.515801003090984
"real",-0.480305108009293,0.1509405324559,-0.345380336684961,-0.968620424131985,-0.248951437117225
"sales",-0.402711834339714,0.280859294231114,-0.335473880426402,0.0802796099525717,-0.668876506728204
"consumer",-0.498038697872605,0.162410545661393,-0.834069339323605,0.000665467637973001,0.123326066943361
"satisfaction",-1.04343060582639,0.326866847634298,-1.29554174140255,1.9607360717585,1.46144899172211
"spatial",0.898997845047226,0.634831242694143,-0.0249822284480862,-0.181159725905409,-0.0985200793806879
"strategy",0.633217494764389,0.68279770285037,-0.225269811098546,-0.41637193264062,0.286772333029204
"strategies",-0.584257966527821,0.0657213479603307,-0.0481455965565537,0.622351468742841,1.01897844328153
"technological",-0.0679041305683327,-0.309318370405167,0.554517930202079,-0.510571927714757,0.140599606598323
"technologies",0.0598591556868812,-0.117645535457951,0.119079089817371,-0.0458061571709044,0.174043427803604
"technology",-0.103770777502215,-0.14116727488352,-0.0927162589723207,-0.184861601768578,-0.00147390861902448
"tourism",-1.53342866830455,1.06045480204043,2.46017737622143,0.67269582721562,0.0900765966988996
"tourist",-1.11097734896357,0.859322450377556,2.38822532664285,0.377240428469557,-0.125054165761998
"tourists",-1.32044060143355,0.8241078073633,1.6302778581421,0.162106525402183,0.302753725874022
