"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"marketing",0.0713294706685509,0.0185996541496994,0.0262714308762743,0.000455384024340024,0.01409663426813
"innovation",0.00492127232251119,0.000694367718438187,0.00020604864651324,0.0250683293644613,0.101566086891546
"augmented",0.00295639287527169,0.0424211113908125,0.00685953821186114,0.228359072865155,0.107339226961221
"reality",0.0956572409249978,0.0483742982228147,0.00153057899761077,0.222370540248357,0.0165179808344204
"virtual",0.145989654856189,0.0183746983493919,0.00665076337415743,0.00079663723066123,0.259490842615041
"advertising",0.0995578213249788,0.395128916273663,0.00894655542665454,0.00156900195798337,0.0132921982131879
"algorithms",0.207511427458448,0.111033256331838,0.0282945064882219,0.0120519208463965,0.00727277687392562
"applications",0.0114008377207524,0.00932560515314311,0.010041322899587,0.0374686257374476,0.0155708640841096
"artificial",0.0105127167232624,0.0152991593025614,0.00116930999375191,0.00861582933832102,0.00214284665715912
"intelligence",0.000660100870674489,0.00159955837764828,0.00318828360484202,0.0204285793991325,0.00858075076332676
"business",0.0890711834380103,0.000932636709148709,0.00630448690584229,0.0205305225532476,3.90250452310595e-05
"collaborative",0.00645518786125532,0.000173175976520702,0.000509178875502292,0.00769606698680055,0.0575360878430232
"community",0.0279410937045479,0.00165845766447909,0.0916191758004313,0.249421426274178,0.0234183495820957
"cultural",0.0196768414723999,0.000445820097709854,0.011578934146956,0.0585733744180083,0.172575607664565
"database",0.0251656656001833,0.0141295807304337,0.070625748675806,0.0025196240747588,0.000342551380358924
"databases",0.0368373231801179,0.0307711795965143,0.021543707082666,0.000536687198290491,0.000170903366927104
"decision",0.00706384690861843,0.000208675566042163,0.00838806855275885,0.00597400261014329,0.00592165485531061
"science",0.0348449316566076,0.042387747711594,0.0121791220712841,0.00120553763877398,0.00165647449698634
"scientific",0.0288878191876908,0.0171160369143151,0.199470311380503,0.00476302949568775,0.00150740808340108
"digital",0.00116476322258656,0.00709726617654548,7.11204889988035e-08,0.0179098803180051,0.213266677694833
"distributed",0.0942011350190775,0.0775739127404476,0.0183355687150114,0.00756356775213376,0.00166860980525525
"computing",0.0237308978193616,0.0345167764515598,0.00474810234044943,0.00174847447001449,0.00194802631299949
"ecommerce",4.29694284423904e-05,0.0064055914160116,0.0170037749736352,0.00129989448168609,0.0293635555221698
"economic",0.00140751844843609,0.000119693435300273,0.0150456971167112,0.000176215633879307,0.0239937607565188
"education",0.132991850944642,0.0818763504418561,0.0312247036022577,0.0367689496034881,0.000344669219965942
"educational",0.0842936637676473,0.0485313617299372,0.04329486647004,0.0145544886672269,0.00123386598174167
"electronic",0.0222841939011972,0.0219204102605792,0.00329124867030558,9.05040951546872e-05,3.32534563895498e-06
"engineering",0.0203929102690755,0.0321048042256673,0.00356717090305191,0.00382500498974133,5.18008337284798e-05
"environment",0.000537040613833443,0.00673708808382938,0.0116115306409201,0.0460679365831631,0.191616376276869
"environment.1",0.000537040613833446,0.00673708808382937,0.0116115306409201,0.046067936583163,0.191616376276869
"environments",0.014675369951495,0.00237635075813849,0.0454879208544847,0.0113566296974655,0.0970667494229902
"geographic",0.00755977960388192,0.00536989910758348,0.0229243411362961,0.0109867042725733,0.00222875763253306
"information",0.0854728574762808,0.00389431854038527,0.0214531184533427,0.0135914253602948,0.0102615221031615
"systems",0.0321962042213517,0.0865940639236438,0.00174201623024078,0.00131965543034287,0.0057861885943702
"health",0.000272082518531883,0.0146187722617437,0.00151932171706269,0.0746409785246727,0.066987023540454
"infrastructure",0.0655675043068976,0.0483954247322846,0.01778846559426,0.000291624205013874,0.00245458339582869
"innovation.1",0.00492127232251122,0.000694367718438198,0.000206048646513245,0.0250683293644613,0.101566086891546
"innovative",0.00268322833470966,0.00688269667198752,0.0060520576479734,0.000913316768428613,0.0382982956458433
"internet",0.00388106828358033,0.0328661395072723,2.94178956949667e-08,0.00491861077148604,0.00181019285886898
"machine",0.0654119324455566,0.0559153559292555,0.00896610899526866,0.0139449779488548,0.0169492993017282
"learning",0.266587165900549,0.190239450269316,0.0452537195712481,0.0542991475632752,0.001517152138262
