"","x"
"npar",18
"fmin",0.00147275158820293
"chisq",0.494844533636183
"df",3
"pvalue",0.92002257653424
"baseline.chisq",107.561864271276
"baseline.df",15
"baseline.pvalue",4.44089209850063e-16
"cfi",1
"tli",1.13532330436981
"nnfi",1.13532330436981
"rfi",0.976997212860305
"nfi",0.995399442572061
"pnfi",0.199079888514412
"ifi",1.02395859603138
"rni",1.02706466087396
"logl",-1069.99630816461
"unrestricted.logl",-1069.74888589779
"aic",2175.99261632921
"bic",2232.22396795847
"ntotal",168
"bic2",2175.23201924985
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0.0453954791133185
"rmsea.ci.level",0.9
"rmsea.pvalue",0.954767535978544
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.0185564718198656
"rmsea.notclose.h0",0.08
"rmr",0.00587930295103003
"rmr_nomean",0.00587930295103003
"srmr",0.0126749365301499
"srmr_bentler",0.0126749365301499
"srmr_bentler_nomean",0.0126749365301499
"crmr",0.0149967647781733
"crmr_nomean",0.0149967647781733
"srmr_mplus",0.0126750135235217
"srmr_mplus_nomean",0.0126750135235217
"cn_05",2654.10455811045
"cn_01",3852.58869323901
"gfi",0.999016202180324
"agfi",0.993113415262268
"pgfi",0.142716600311475
"mfi",1.0074836836713
"ecvi",0.21723121746212
