"","MR1","MR2","MR3","MR4"
"economic",0.351694686786134,-0.0314427947450046,0.0570002875049709,-0.10200722313356
"environment",0.400046469285488,-0.078138574377998,0.0945043573177616,-0.105001738133359
"intelligence",0.0523787527694608,-0.127541190334213,0.0389535181373535,-0.0683539124719816
"technology",0.344641058167154,-0.0433341354631016,0.359100854729513,-0.0510819363632883
"health",-0.161516827446196,0.0197253072799697,0.866006088259208,0.0596799768362642
"business",0.612858037301843,0.022380922163666,-0.0822220358030052,-0.0462077189268205
"management",0.823211077572548,0.01246913665329,-0.0356083959583151,0.027006785985856
"methods",0.415117369974643,-0.0961550361680386,0.0865131205229563,-0.130700234363335
"models",0.31442105859141,-0.0542932597153557,-0.157089046395229,0.170781054465863
"modelling",0.225691959994432,-0.0755351073115241,-0.0523201941494634,-0.0533007548327321
"neural",0.776543915706417,-0.02431805469509,-0.0673430574708623,0.0370305502397345
"networks",0.885296232891019,0.048948861492045,-0.0639054046096626,-0.0343940682761619
"information",0.269126485582044,0.0335154993963557,0.344190606527715,0.148735083556784
"systems",0.730393785966021,-0.00459996049924049,0.218463468168146,0.0100570406866392
"databases",0.544095026076476,-0.049176524533557,-0.0729453540799891,0.114176811539044
"algorithms",0.878363142077015,0.0773050709774343,0.0138795811795169,0.00176149775252259
"education",0.632485285174319,0.0915372516916372,0.0434104446261476,-0.0456668755581889
"engineering",0.359273820152504,-0.0960668296740612,0.0377119636583294,-0.128673606765034
"medical",0.204770474780021,-0.0136218148795489,0.764539727464894,-0.0295507433388456
"science",0.569943753982844,-0.0843318473590823,0.105785811875958,-0.0852768610102294
"applications",0.340316376543825,0.0231996532936845,0.00156091455591678,0.182966388118621
"spatial",0.437081020314111,-0.047732145964341,-0.0691122117194904,0.0680699864743508
"ecommerce",0.0221622386846221,0.0406126045540771,-0.0148294090295098,-0.0251875701459617
"innovation",0.0654391809622784,-0.0124355551809973,-0.0891239181224577,0.0910016743253471
"online",0.00807460678714505,0.989382923988059,0.0036151859396179,-0.00542925349858372
"augmented",-0.0376045704695008,-0.029770163187306,0.0396993827495447,0.829813554627891
"reality",0.0815662471921309,-0.0661287163390388,0.0523190485679201,0.410719492143924
"virtual",0.112877012975171,-0.0566476059115575,0.0247619211102293,-0.199063996510343
"geographic",0.00296462759892065,0.0913497078827337,-0.0980077748261488,0.197689406776042
"navigation",0.0532791520946619,0.0203046793509107,-0.0973188762029169,0.430592535308294
"mobile",0.305443417536013,0.0334409539460797,0.0166423556154844,0.36275038227995
"online.1",0.00807460678713402,0.989382923988099,0.00361518593961964,-0.00542925349857803
"sales",-0.059755979130373,0.0743414550367287,0.0570796204653054,-0.0877637070944036
"marketing",0.0122146137371137,0.0010455871827481,-0.0899151143100585,-0.111329849878291
"collaborative",0.0955230719724269,-0.0056365946745663,0.00401611199127291,0.127366778336799
