"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"collaborative  ->  cm",-0.0599790403905132,-0.0558769700408137,0.0514679871391217,-1.16536596289234,-0.138293216428475,0.0142404804456607
"marketing  ->  mi",0.996634415157893,0.995856977558577,0.00358255883244669,278.190662531911,0.989448925414849,0.999789049474907
"marketing  ->  cm",0.999424276584857,0.999037031161583,0.00112471783980508,888.600003675641,0.996819758904745,0.999994983202781
"innovation  ->  mi",-0.154433321353206,-0.139929350795174,0.0831581226883509,-1.85710446990213,-0.259516425618636,-0.00604961988422284
"augmented  ->  arvr",0.824351998922582,0.433740886700373,0.710782683724041,1.15978064435041,-0.91387953133588,0.895136673033116
"reality  ->  arvr",0.86176962350536,0.530007107291641,0.685860826230648,1.25647885189984,-0.802339307254921,0.906874413668307
"virtual  ->  arvr",0.0552361610189525,0.0793759814636421,0.397631583228193,0.13891291172224,-0.542217954575837,0.743457637292067
"information  ->  ist",0.361093065053233,0.424290100396723,0.378133313992916,0.954935869681128,-0.387190862711791,0.747361339714475
"systems  ->  ist",0.867280239311991,0.628406469028009,0.536904787431308,1.61533340661998,-0.536036423433427,0.964060150760911
"technology  ->  ist",0.788560405113542,0.448967979066457,0.538503638044098,1.46435483328892,-0.567388907182265,0.901189888758919
