,mi,arvr,ist,apro,cm
collaborative,,,,,-0.061755739
marketing,0.995199866,,,,0.999362301
marketing.1,,,,,
innovation,-0.170175071,,,,
augmented,,0.822106296,,,
reality,,0.863634664,,,
virtual,,0.059032615,,,
reality.1,,,,,
information,,,-0.241443303,,
systems,,,-0.487696983,,
technology,,,-0.779934163,,
neural,,,-0.087726141,,
networks,,,-0.015238967,,
database,,,0.192942849,,
databases,,,0.214350823,,
algorithms,,,-0.214523019,,
methods,,,,-0.287480676,
models,,,,-0.842040811,
decision,,,,0.517035369,
strategy,,,,0.058895351,
modelling,,,,0.078615282,
